image_name,source_url,category,file_path
"N38,N,F,33_1_0.jpg",Local File,spine,"dataset/spine/N38,N,F,33_1_0.jpg"
"N134, Rt TAIS, F, 12 Yrs.jpg",Local File,spine,"dataset/spine/N134, Rt TAIS, F, 12 Yrs.jpg"
"N7,S,12,F_1_0.jpg",Local File,spine,"dataset/spine/N7,S,12,F_1_0.jpg"
"N76, Rt T and L L AIS, F, 13 Yrs.jpg",Local File,spine,"dataset/spine/N76, Rt T and L L AIS, F, 13 Yrs.jpg"
"N11,N,F,26_1_0.jpg",Local File,spine,"dataset/spine/N11,N,F,26_1_0.jpg"
"N12,S,19,F_1_0.jpg",Local File,spine,"dataset/spine/N12,S,19,F_1_0.jpg"
"N8,N,F,56_1_0.jpg",Local File,spine,"dataset/spine/N8,N,F,56_1_0.jpg"
"N30,S,10,F_1_0.jpg",Local File,spine,"dataset/spine/N30,S,10,F_1_0.jpg"
"N16, Rt TAIS, F, 15 yrs.jpg",Local File,spine,"dataset/spine/N16, Rt TAIS, F, 15 yrs.jpg"
"N70, Rt TAIS, F, 14 yrs.jpg",Local File,spine,"dataset/spine/N70, Rt TAIS, F, 14 yrs.jpg"
"N20, Rt TAIS, F 17 yrs.jpg",Local File,spine,"dataset/spine/N20, Rt TAIS, F 17 yrs.jpg"
"N140, Rt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N140, Rt TAIS, F, 15 Yrs.jpg"
"N20,N,F,21_1_0.jpg",Local File,spine,"dataset/spine/N20,N,F,21_1_0.jpg"
"N53, Lt LAIS, F, 18 Yrs.jpg",Local File,spine,"dataset/spine/N53, Lt LAIS, F, 18 Yrs.jpg"
"N88, Rt TAIS, M, 15 Yrs.jpg",Local File,spine,"dataset/spine/N88, Rt TAIS, M, 15 Yrs.jpg"
"N84, Rt TAIS, F, 13 Yrs.jpg",Local File,spine,"dataset/spine/N84, Rt TAIS, F, 13 Yrs.jpg"
"N33,N,F,20_1_0.jpg",Local File,spine,"dataset/spine/N33,N,F,20_1_0.jpg"
"N1,N,40,M_1_0.jpg",Local File,spine,"dataset/spine/N1,N,40,M_1_0.jpg"
"N122, Rt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N122, Rt TAIS, F, 15 Yrs.jpg"
"N9,N,F,13_1_0.jpg",Local File,spine,"dataset/spine/N9,N,F,13_1_0.jpg"
"N63,N,16,M_1_0.jpg",Local File,spine,"dataset/spine/N63,N,16,M_1_0.jpg"
"N32,N,F,F_1_0.jpg",Local File,spine,"dataset/spine/N32,N,F,F_1_0.jpg"
"N96, Lt TL AIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N96, Lt TL AIS, F, 16 Yrs.jpg"
"N65, Lt TAIS, M, 14 Yrs.jpg",Local File,spine,"dataset/spine/N65, Lt TAIS, M, 14 Yrs.jpg"
"N74, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N74, Rt TAIS, F, 14 Yrs.jpg"
"N23,S,10,F_1_0.jpg",Local File,spine,"dataset/spine/N23,S,10,F_1_0.jpg"
"N35,N,M,9 MONTHS_1_0.jpg",Local File,spine,"dataset/spine/N35,N,M,9 MONTHS_1_0.jpg"
"N103, Rt TAIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N103, Rt TAIS, F, 16 Yrs.jpg"
"N116, Rt TLAIS, F, 17 Yrs.jpg",Local File,spine,"dataset/spine/N116, Rt TLAIS, F, 17 Yrs.jpg"
"N40, Rt TAIS, F, 13 yrs.jpg",Local File,spine,"dataset/spine/N40, Rt TAIS, F, 13 yrs.jpg"
"N58,N,43,M_1_0.jpg",Local File,spine,"dataset/spine/N58,N,43,M_1_0.jpg"
"N30, Rt T and Lt L AIS, F, 12 yrs.jpg",Local File,spine,"dataset/spine/N30, Rt T and Lt L AIS, F, 12 yrs.jpg"
"N17, Rt TAIS, F, 12 yrs.jpg",Local File,spine,"dataset/spine/N17, Rt TAIS, F, 12 yrs.jpg"
"N51,N,19,F_1_0.jpg",Local File,spine,"dataset/spine/N51,N,19,F_1_0.jpg"
"N129, Lt TL AIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N129, Lt TL AIS, F, 14 Yrs.jpg"
"N6, Rt TAIS, M, 16 yrs.jpg",Local File,spine,"dataset/spine/N6, Rt TAIS, M, 16 yrs.jpg"
"N21,N,F,17_1_0.jpg",Local File,spine,"dataset/spine/N21,N,F,17_1_0.jpg"
"N3,N,M,22_1_0.jpg",Local File,spine,"dataset/spine/N3,N,M,22_1_0.jpg"
"N23, Rt TAIS, F, 15 yrs.jpg",Local File,spine,"dataset/spine/N23, Rt TAIS, F, 15 yrs.jpg"
"N29, Rt T and Lt L AIS, 14 yrs.png",Local File,spine,"dataset/spine/N29, Rt T and Lt L AIS, 14 yrs.png"
"N66,N,6,F_1_0.jpg",Local File,spine,"dataset/spine/N66,N,6,F_1_0.jpg"
"N24,S,17,M_1_0.jpg",Local File,spine,"dataset/spine/N24,S,17,M_1_0.jpg"
"N31,S,17,M_1_0.jpg",Local File,spine,"dataset/spine/N31,S,17,M_1_0.jpg"
"N50, Rt TAIS, F, 11 Yrs.jpg",Local File,spine,"dataset/spine/N50, Rt TAIS, F, 11 Yrs.jpg"
"N89, Rt TAIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N89, Rt TAIS, F, 16 Yrs.jpg"
"N4,N,M,6_1_0.jpg",Local File,spine,"dataset/spine/N4,N,M,6_1_0.jpg"
"N50,N,F,21_1_0.jpg",Local File,spine,"dataset/spine/N50,N,F,21_1_0.jpg"
"N49,N,F,50_1_0.jpg",Local File,spine,"dataset/spine/N49,N,F,50_1_0.jpg"
"N3,N,M,14_1_0.jpg",Local File,spine,"dataset/spine/N3,N,M,14_1_0.jpg"
"N8,S,14,F_1_0.jpg",Local File,spine,"dataset/spine/N8,S,14,F_1_0.jpg"
"N20,S,F,35_1_0.jpg",Local File,spine,"dataset/spine/N20,S,F,35_1_0.jpg"
"N41,N,F,22_1_0.jpg",Local File,spine,"dataset/spine/N41,N,F,22_1_0.jpg"
"N16,S,14,M_1_0.jpg",Local File,spine,"dataset/spine/N16,S,14,M_1_0.jpg"
"N118, Rt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N118, Rt TAIS, F, 15 Yrs.jpg"
"N73, Lt LAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N73, Lt LAIS, F, 14 Yrs.jpg"
"N75, Rt T and Lt L AIS, M, 17 Yrs.jpg",Local File,spine,"dataset/spine/N75, Rt T and Lt L AIS, M, 17 Yrs.jpg"
"N109, Rt TAIS, F, 13 Yrs.jpg",Local File,spine,"dataset/spine/N109, Rt TAIS, F, 13 Yrs.jpg"
